LINK,A,B,a0,a1,a2,a3,a4
0,1,2,6,0,0,0,2.0000000003439408e-18
1,1,3,4,0,0,0,2.000000001096302e-18
2,2,1,6,0,0,0,2.0000000003439408e-18
3,2,6,5,0,0,0,1.2409999999794964e-15
4,3,1,4,0,0,0,2.000000001096302e-18
5,3,4,4,0,0,0,6.999999995786057e-18
6,3,12,4,0,0,0,2.000000001096302e-18
7,4,3,4,0,0,0,6.999999995786057e-18
8,4,5,2,0,0,0,3.0000000002626562e-18
9,4,11,6,0,0,0,1.5500000002460382e-15
10,5,4,2,0,0,0,3.0000000002626562e-18
11,5,6,4,0,0,0,1.000999999657531e-15
12,5,9,5,0,0,0,7.500000000000001e-17
13,6,2,5,0,0,0,1.2409999999794964e-15
14,6,5,4,0,0,0,1.000999999657531e-15
15,6,8,2,0,0,0,5.209999998180762e-16
16,7,8,3,0,0,0,1.1900000001999076e-16
18,8,6,2,0,0,0,5.209999998180762e-16
19,8,7,3,0,0,0,1.1900000001999076e-16
20,8,9,10,0,0,0,2.3060000003890875e-15
21,8,16,5,0,0,0,1.156999999572462e-15
22,9,5,5,0,0,0,7.500000000000001e-17
23,9,8,10,0,0,0,2.3060000003890875e-15
24,9,10,3,0,0,0,1.1999999995063003e-17
25,10,9,3,0,0,0,1.1999999995063003e-17
26,10,11,5,0,0,0,7.500000000000001e-17
27,10,15,6,0,0,0,2.699999998457645e-17
28,10,16,4,0,0,0,1.080000000065165e-15
30,11,4,6,0,0,0,1.5500000002460382e-15
31,11,10,5,0,0,0,7.500000000000001e-17
32,11,12,6,0,0,0,1.5500000002460382e-15
33,11,14,4,0,0,0,1.0610000003948402e-15
34,12,3,4,0,0,0,2.000000001096302e-18
35,12,11,6,0,0,0,1.5500000002460382e-15
36,12,13,3,0,0,0,1.0000000001719704e-18
37,13,12,3,0,0,0,1.0000000001719704e-18
39,14,11,4,0,0,0,1.0610000003948402e-15
40,14,15,5,0,0,0,1.0850000001199862e-15

42,15,10,6,0,0,0,2.699999998457645e-17
43,15,14,5,0,0,0,1.0850000001199862e-15
46,16,8,5,0,0,0,1.156999999572462e-15
47,16,10,4,0,0,0,1.080000000065165e-15
